Insert Index;Insert Time (ms);Insert Operation Count;Search Index;Contains Time (ms);Contains Operation Count;Delete Time (ms);Delete Operations Count
1103;1500;65;;;;;
1104;700;79;;;;;
1105;500;55;;;;;
1106;800;72;;;;;
1107;400;40;;;;;
1108;1300;61;;;;;
1109;1000;76;;;;;
1110;800;58;;;;;
1111;500;46;;;;;
1112;600;44;;;;;
1113;900;70;;;;;
1114;900;42;;;;;
1115;700;58;;;;;
1116;600;55;;;;;
1117;900;66;;;;;
1118;1000;84;;;;;
1119;700;56;;;;;
1120;500;48;;;;;
1121;600;68;;;;;
1122;500;44;;;;;
1123;700;50;;;;;
1124;500;42;;;;;
1125;1000;85;;;;;
1126;600;55;;;;;
1127;1200;78;;;;;
1128;700;66;;;;;
1129;500;55;;;;;
1130;800;51;;;;;
1131;700;44;;;;;
1132;1500;122;;;;;
1133;700;50;;;;;
1134;800;53;;;;;
1135;800;50;;;;;
1136;500;50;;;;;
1137;600;65;;;;;
1138;1300;102;;;;;
1139;1300;73;;;;;
1140;600;62;;;;;
1141;1000;78;;;;;
1142;1100;114;;;;;
1143;600;42;;;;;
1144;700;64;;;;;
1145;600;48;;;;;
1146;800;59;;;;;
1147;700;50;;;;;
1148;1000;48;;;;;
1149;1700;148;;;;;
1150;700;47;;;;;
1151;600;57;;;;;
1152;1100;56;;;;;
1153;600;44;;;;;
1154;900;65;;;;;
1155;600;52;;;;;
1156;900;71;;;;;
1157;700;53;;;;;
1158;700;47;;;;;
1159;900;76;;;;;
1160;900;56;;;;;
1161;700;73;;;;;
1162;1600;106;;;;;
1163;600;46;;;;;
1164;1100;90;;;;;
1165;500;44;;;;;
1166;800;57;;;;;
1167;700;63;;;;;
1168;700;46;;;;;
1169;700;46;;;;;
1170;500;44;;;;;
